Area,Item,TIME,Consumption,Production
Thailand,PIG,2013,941230.0,967296.0
Thailand,PIG,2014,923449.0,948901.0
Thailand,PIG,2015,913002.0,936356.0
Thailand,PIG,2016,895960.0,912676.0
Thailand,PIG,2017,882611.0,910114.0
Thailand,PIG,2018,878045.0,897915.0
Thailand,PIG,2019,876400.0,895380.0
Thailand,PIG,2020,878560.0,893500.0
Norway,POULTRY,1990,20084.0,19816.0
Norway,POULTRY,1991,20539.0,18308.0
Norway,POULTRY,1992,23117.0,20520.0
Norway,POULTRY,1993,23088.0,19418.0
Norway,POULTRY,1994,26172.0,22356.0
Norway,POULTRY,1995,29658.0,24428.0
Norway,POULTRY,1996,32619.0,27552.0
Norway,POULTRY,1997,33488.0,29370.0
Norway,POULTRY,1998,31429.0,27565.0
Norway,POULTRY,1999,36754.0,32059.0
Norway,POULTRY,2000,43607.0,38114.0
Norway,POULTRY,2001,43348.0,37324.0
Norway,POULTRY,2002,46808.0,40605.0
Norway,POULTRY,2003,49872.0,43009.0
Norway,POULTRY,2004,54990.0,47280.0
Norway,POULTRY,2005,58198.0,49905.0
Norway,POULTRY,2006,63642.0,55345.0
Norway,POULTRY,2007,71199.0,62563.0
Norway,POULTRY,2008,84858.0,74848.0
Norway,POULTRY,2009,82335.0,71229.0
Norway,POULTRY,2010,84673.0,75879.0
Norway,POULTRY,2011,85131.0,75172.0
Norway,POULTRY,2012,93743.0,81051.0
Norway,POULTRY,2013,106461.0,93580.0
Norway,POULTRY,2014,104728.0,94759.0
Norway,POULTRY,2015,93963.0,80869.0
Norway,POULTRY,2016,100532.0,87281.0
Norway,POULTRY,2017,103260.0,90944.0
Norway,POULTRY,2018,105021.0,89925.0
Norway,POULTRY,2019,108441.0,98553.0
Norway,POULTRY,2020,109887.0,101867.0
Thailand,SHEEP,1990,1325.0,677.0
Thailand,SHEEP,1991,1414.0,702.0
Thailand,SHEEP,1992,1691.0,836.0
Thailand,SHEEP,1993,1310.0,575.0
Thailand,SHEEP,1994,1200.0,489.0
Thailand,SHEEP,1995,1100.0,420.0
Thailand,SHEEP,1996,818.0,300.0
Thailand,SHEEP,1997,852.0,240.0
Thailand,SHEEP,1998,930.0,225.0
Thailand,SHEEP,1999,925.0,222.0
Thailand,SHEEP,2000,1027.0,210.0
Thailand,SHEEP,2001,1391.0,240.0
Thailand,SHEEP,2002,1318.0,225.0
Thailand,SHEEP,2003,1414.0,255.0
Thailand,SHEEP,2004,1930.0,240.0
Thailand,SHEEP,2005,2069.0,140.0
Thailand,SHEEP,2006,1992.0,153.0
Thailand,SHEEP,2007,2492.0,177.0
Thailand,SHEEP,2008,2380.0,250.0
Thailand,SHEEP,2009,2232.0,196.0
Thailand,SHEEP,2010,2292.0,116.0
Thailand,SHEEP,2011,2693.0,70.0
Thailand,SHEEP,2012,2982.0,161.0
Thailand,SHEEP,2013,3300.0,317.0
Thailand,SHEEP,2014,3304.0,136.0
Thailand,SHEEP,2015,3376.0,163.0
Thailand,SHEEP,2016,3705.0,170.0
Thailand,SHEEP,2017,3385.0,162.0
Thailand,SHEEP,2018,3681.0,162.0
Thailand,SHEEP,2019,3285.0,159.0
Thailand,SHEEP,2020,3374.0,157.0
Norway,BEEF,1990,76702.0,82802.0
Norway,BEEF,1991,79135.0,79155.0
Norway,BEEF,1992,80588.0,83496.0
Norway,BEEF,1993,82507.0,82832.0
Norway,BEEF,1994,89420.0,86730.0
Norway,BEEF,1995,87986.0,84108.0
Norway,BEEF,1996,90260.0,85122.0
Norway,BEEF,1997,90068.0,88130.0
Norway,BEEF,1998,92667.0,90890.0
Norway,BEEF,1999,89752.0,95344.0
Norway,BEEF,2000,92781.0,90568.0
Norway,BEEF,2001,89796.0,85806.0
Norway,BEEF,2002,90462.0,85637.0
Norway,BEEF,2003,93068.0,85314.0
Norway,BEEF,2004,94764.0,86572.0
Norway,BEEF,2005,96445.0,87393.0
Norway,BEEF,2006,92356.0,87643.0
Norway,BEEF,2007,94884.0,84678.0
Norway,BEEF,2008,98078.0,86447.0
Norway,BEEF,2009,93870.0,84787.0
Norway,BEEF,2010,90707.0,83508.0
Norway,BEEF,2011,94000.0,81638.0
Norway,BEEF,2012,97806.0,77982.0
Norway,BEEF,2013,99944.0,83696.0
Norway,BEEF,2014,92735.0,78732.0
Norway,BEEF,2015,104388.0,79672.0
Norway,BEEF,2016,105477.0,81676.0
